n,Airport,Category,Country,Code,Fullname
1, Anchorage International,Airport,United States of America,ANC,"Anchorage International Airport, United States of America"
2, Hartsfield-Jackson Atlanta International,Airport,United States of America,ATL,"Hartsfield-Jackson Atlanta International Airport, United States of America"
3, Boston Logan International,Airport,United States of America,BOS,"Boston Logan Airport, United States of America"
4, Baltimore/Washington International,Airport,United States of America,BWI,"Baltimore Washington International Airport, United States of America"
5, Charlotte Douglas International,Airport,United States of America,CLT,"Charlotte Douglas International Airport, United States of America"
6, Cincinnati/Northern Kentucky International,Airport,United States of America,CVG,"Cincinnati Northern Kentucky International Airport, United States of America"
7, Dallas Love Field,Airport,United States of America,DAL,"Dallas Love Field Airport, United States of America"
8, Ronald Reagan Washington National,Airport,United States of America,DCA,"Ronald Reagan Washington National Airport, United States of America"
9, Denver International,Airport,United States of America,DEN,"Denver International Airport, United States of America"
10, Dallas/Fort Worth International,Airport,United States of America,DFW,"Dallas Fort Worth International Airport, United States of America"
11, Detroit Metropolitan Wayne County,Airport,United States of America,DTW,"Detroit Metropolitan Wayne County Airport, United States of America"
12, Newark Liberty International,Airport,United States of America,EWR,"Newark Liberty International Airport, United States of America"
13, Fort Lauderdale/Hollywood International,Airport,United States of America,FLL,"Fort Lauderdale Hollywood International Airport, United States of America"
14, Honolulu International,Airport,United States of America,HNL,"Honolulu International Airport, United States of America"
15, Houston Hobby,Airport,United States of America,HOU,"Houston Hobby Airport, United States of America"
16, Washington Dulles International,Airport,United States of America,IAD,"Washington Dulles International Airport, United States of America"
17, George Bush Houston Intercontinental,Airport,United States of America,IAH,"George Bush Houston Airport, United States of America"
18, Indianapolis International,Airport,United States of America,IND,"Indianapolis International Airport, United States of America"
19,John F Kennedy International,Airport,United States of America,JFK,"John F Kennedy International Airport, United States of America"
20, Las Vegas Harry Reid International,Airport,United States of America,LAS,"Las Vegas International Airport, United States of America"
21, Los Angeles International,Airport,United States of America,LAX,"Los Angeles International Airport, United States of America"
22, New York LaGuardia,Airport,United States of America,LGA,"LaGuardia Airport, United States of America"
23, Orlando International,Airport,United States of America,MCO,"Orlando International Airport, United States of America"
24, Chicago Midway,Airport,United States of America,MDW,"Chicago Midway Airport, United States of America"
25, Memphis International ,Airport,United States of America,MEM,"Memphis International Airport, United States of America"
26, Miami International,Airport,United States of America,MIA,"Miami International Airport, United States of America"
27, Minneapolis/St Paul International,Airport,United States of America,MSP,"Minneapolis St Paul International Airport, United States of America"
28, Oakland International,Airport,United States of America,OAK,"Oakland International,Airport, United States of America"
29, Ontario International,Airport,United States of America,ONT,"Ontario International Airport, United States of America"
30, Chicago O'Hare International,Airport,United States of America,ORD,"O'Hare Airport, United States of America"
31, Portland International,Airport,United States of America,PDX,"Portland International Airport, United States of America"
32, Philadelphia International,Airport,United States of America,PHL,"Philadelphia International Airport, United States of America"
33, Phoenix Sky Harbor International,Airport,United States of America,PHX,"Phoenix Sky Harbor International Airport, United States of America"
34, San Diego International,Airport,United States of America,SAN,"San Diego International Airport, United States of America"
35, Louisville International,Airport,United States of America,SDF,"Louisville International Airport, United States of America"
36, Seattle/Tacoma International,Airport,United States of America,SEA,"Seattle Tacoma International Airport, United States of America"
37, San Francisco International,Airport,United States of America,SFO,"San Francisco International Airport, United States of America"
38, Salt Lake City International,Airport,United States of America,SLC,"Salt Lake City International Airport, United States of America"
39, Teterboro Airport,Airport,United States of America,TEB,"Teterboro Airport, United States of America"
40, Tampa International,Airport,United States of America,TPA,"Tampa International Airport, United States of America"
