Territorial authority,Male2022-24,Female2022-24
New Zealand,80.1     ,83.5     
Far North District,78.2     ,81.9     
Whang?rei district,78.9     ,82.4     
Kaipara District,79.2     ,82.7     
Auckland,81.1     ,84.3     
Thames-Coromandel district,79.6     ,83.0     
Hauraki district,78.9     ,82.5     
Waikato district,80.0     ,83.2     
Matamata-Piako district,79.9     ,83.5     
Hamilton city,78.3     ,82.0     
Waipa district,80.6     ,84.0     
?torohanga district,79.6     ,83.3     
South Waikato district,77.5     ,81.3     
Waitomo district,77.5     ,81.1     
Taup? district,80.1     ,83.1     
Western Bay of Plenty district,80.9     ,84.4     
Tauranga city,80.8     ,84.5     
Rotorua district,77.6     ,80.9     
Whakat?ne district,78.0     ,81.6     
Kawerau district,76.6     ,80.1     
?p?tiki district,76.1     ,80.0     
Gisborne district,77.7     ,81.4     
Wairoa district,76.2     ,80.1     
Hastings district,78.8     ,82.3     
Napier city,79.2     ,82.8     
Central Hawke's Bay district,79.9     ,83.4     
New Plymouth district,79.9     ,83.6     
Stratford district,80.1     ,83.6     
South Taranaki district,78.5     ,82.1     
Ruapehu district,77.7     ,81.0     
Whanganui district,78.1     ,81.7     
Rangitikei district,80.0     ,83.4     
Manawat? district,79.3     ,82.7     
Palmerston North city,79.0     ,82.2     
Tararua district,79.2     ,82.7     
Horowhenua district,78.1     ,81.8     
Kapiti Coast district,81.4     ,84.5     
Porirua city,79.3     ,82.8     
Upper Hutt city,79.3     ,82.4     
Lower Hutt city,79.5     ,83.1     
Wellington city,82.1     ,85.2     
Masterton district,78.6     ,81.8     
Carterton district,79.8     ,83.1     
South Wairarapa district,82.5     ,85.7     
Tasman district,83.0     ,85.7     
Nelson city,80.5     ,83.6     
Marlborough district,80.7     ,83.5     
Kaikoura district,81.8     ,85.1     
Buller district,79.4     ,82.8     
Grey district,78.1     ,81.9     
Westland district,79.4     ,82.8     
Hurunui district,82.6     ,86.1     
Waimakariri district,81.8     ,84.7     
Christchurch city,79.9     ,83.1     
Selwyn district,84.1     ,87.9     
Ashburton district,79.3     ,82.7     
Timaru district,79.3     ,82.4     
Mackenzie district,82.5     ,85.6     
Waimate district,79.6     ,83.1     
Chatham Islands territory,77.0     ,80.7     
Waitaki district,79.6     ,83.0     
Central Otago district,82.2     ,85.4     
Queenstown-Lakes district,85.3     ,87.8     
Dunedin city,79.6     ,82.9     
Clutha district,79.4     ,82.7     
Southland district,82.3     ,85.6     
Gore district,79.3     ,82.5     
Invercargill city,77.6     ,81.5     
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
